,Name,Sector,Symbol,Q1 Rev Growth,Q1 Op Inc Growth,Q1 EPS Growth,Q2 Rev Growth,Q2 Op Inc Growth,Q2 EPS Growth,Q3 Rev Growth,Q3 Op Inc Growth,Q3 EPS Growth
0,3M Company,Industrials,MMM,0.015016894005756476,-0.35902536051715567,-0.38755630195155544,-0.004438416964615954,0.29014740108611325,0.33608346612946866,-0.1113312693498452,0.04630186410102225,-0.00034655960825249137
1,A.O. Smith Corp,Industrials,AOS,0.031172754737709422,0.023936170212765957,0.054669574286527016,-0.1518178186176588,-0.41385281385281386,-0.4293574022798375,0.04239284032030146,0.28508124076809455,0.3172537652025963
2,Abbott Laboratories,Health Care,ABT,0.029470034670629024,0.10684474123539232,0.09428141319902603,-0.07072407986528746,-0.39064856711915535,-0.46204144021739135,-0.05151436707222366,-0.15594059405940594,-0.0502604577742699
3,AbbVie Inc.,Health Care,ABBV,0.02653614813067579,0.511654566297287,0.48272984886649867,-0.009765625,-0.08923154701718908,-0.005940562521898757,0.20953706926557605,-0.791285040244241,-1.2393042345137706
4,ABIOMED Inc,Health Care,ABMD,0.08103466781152732,0.1674420923199628,4.32054794520548,-0.06736045923893422,-0.2406382100513813,-0.5382172753439489,-0.20230525796243068,-0.3614859799070325,0.3994481693805488
5,Accenture plc,Information Technology,ACN,-0.019143745403407603,-0.15748533183798902,-0.0730854082819282,-0.01348112306192027,0.15029970885425586,-0.017806896622936722,-0.014196130486780232,-0.09810635983542093,0.044969512195121956
6,Activision Blizzard,Communication Services,ATVI,0.5491419656786272,0.8380566801619433,1.5635511546165766,-0.09969788519637462,0.34801762114537443,-0.038095799731678155,0.08053691275167785,0.2238562091503268,0.14555904667024294
7,Adobe Inc.,Information Technology,ADBE,0.033107226235776395,-0.03395289566691273,0.12302377495566943,0.011970236169524426,0.08431163287086446,0.15895491499614198,0.031010230179028132,0.05216535433070866,-0.1318186628101797
8,Advance Auto Parts,Consumer Discretionary,AAP,-0.08628151131479266,-0.26802957151478574,-0.21410776527055603,0.27703499077446236,-0.3782652470687099,-0.5433004456917674,-0.07283565404268978,2.3515460631176284,3.3642500079600084
9,Advanced Micro Devices Inc,Information Technology,AMD,0.1810105496946141,0.5068493150684932,0.3653541841198921,-0.16031969910672308,-0.19545454545454546,-0.09769566403054274,0.08174692049272117,-0.022598870056497175,-0.03324518322629382
10,AES Corp,Utilities,AES,-0.0739047619047619,-0.43970588235294117,-1.3714267564477194,-0.03825586178527355,0.32020997375328086,2.843423978108432,-0.05175363558597092,-0.15904572564612326,-1.578976666512038
11,AFLAC Inc,Financials,AFL,-0.010098884914790659,0.0192131747483989,0.013976909379846393,0.0034006376195536664,-0.30430879712746856,-0.26547895541834254,-0.002965473416649015,0.4619354838709677,0.43757631846167694
12,Agilent Technologies Inc,Health Care,A,-0.0073152889539136795,-0.14,0.012222776178452615,-0.08769344141488578,-0.5255813953488372,-0.4856607191089785,0.018578352180936994,1.2549019607843137,0.9702829605832202
13,Air Products & Chemicals Inc,Materials,APD,-0.012482480728801681,-0.06996021220159152,-0.054852227516194604,-0.017031090610724265,0.028877005347593583,0.004176769871192878,-0.06817669088119839,-0.06583506583506583,-0.06593156070439911
14,Akamai Technologies Inc,Information Technology,AKAM,0.08763198819008554,-0.05560091842360544,-0.13294507959997143,-0.010129215163905234,0.12568540222580216,0.03551077710793631,0.03979186237900725,0.2501083174686536,0.30616476593029746
15,Alaska Air Group Inc,Industrials,ALK,-0.06739221431561322,-0.4028436018957346,-0.442094961412053,-0.26570915619389585,-2.2738095238095237,-2.3045643210840008,-0.7426650366748166,0.102803738317757,0.0811606325140156
16,Albemarle Corp,Materials,ALB,0.1282380047900135,-0.46024298236488964,-0.41716878825892334,-0.2556197887491386,0.2927321600649186,0.18378340233345875,0.03411270293498636,-0.11882866200056495,-0.2014704421261798
17,Alexandria Real Estate Equities,Real Estate,ARE,0.045149097018059636,0.47355847849271243,5.182826603325415,0.07793165635092156,-0.02194387617246304,-0.9139110830962481,-0.006735330822265008,-0.013112457327781834,11.172691292875989
18,Alexion Pharmaceuticals,Health Care,ALXN,0.0959543979099042,0.020754716981132074,0.9139880452264924,0.043704399335404175,0.2855822550831793,-0.37165218045678594,-0.00013842746400885935,-2.9700934579439253,-2.9329005884372483
19,Align Technology,Health Care,ALGN,0.06988825058739653,0.18873474267019,0.19196331246690965,-0.15208676073851893,-0.53742639761826,11.548118439359596,-0.36054871198247435,-2.044080208243943,-1.0268328436588368
20,Allegion,Industrials,ALLE,-0.06226546212647672,-0.7446996466431095,-0.9950189257599331,-0.12627834593152512,2.339100346020761,184.3240093240093,0.2356234096692112,0.6621761658031088,0.9998993761320187
21,Alliant Energy Corp,Utilities,LNT,-0.11118965865481721,-0.44555478980013785,-0.5044075978591668,0.04044994886944665,0.17029210689869484,0.4942085759661197,-0.1666484656546904,-0.10727562400424855,-0.22334334788277319
22,Allstate Corp,Financials,ALL,0.008907125700560448,0.9232758620689655,0.9399384791472924,0.003571074298184704,-0.7037203047960556,-0.6860342055578501,-0.0032618365128002373,1.3388804841149773,1.3156590421939691
23,Alphabet Inc. (Class A),Communication Services,GOOGL,0.13768241191140523,0.009698158439577205,0.5162898256379661,-0.10669560499186109,-0.13911072739045974,-0.39710769403160584,-0.06953521708496319,-0.199824495424345,0.025365752452127237
24,Alphabet Inc. (Class C),Communication Services,GOOG,0.13768241191140523,0.009698158439577205,0.5162898256379661,-0.10669560499186109,-0.13911072739045974,-0.39710769403160584,-0.06953521708496319,-0.199824495424345,0.025365752452127237
25,Altria Group Inc,Consumer Staples,MO,-0.12383313885647608,0.18289353958143767,0.30236518040607535,0.058598301981022144,2.2216035634743876,1.860248607120421,0.0012580594433086963,0.2921604375569736,0.2512600112533072
26,Amazon.com Inc.,Consumer Discretionary,AMZN,0.24942484388619768,0.22869813113715554,0.5283635599284857,-0.1370602497826982,0.028357824181490073,-0.2258297804610827,0.17839156019721147,0.46477813988468286,1.0560552348559247
27,Amcor plc,Materials,AMCR,-0.03107587480497978,0.9366998577524893,1.83050012318305,0.03217114127041504,-0.004039662137348513,-0.009400295935242506,0.0005412289079910857,0.1426991150442478,0.000527194446885199
28,Ameren Corp,Utilities,AEE,-0.20675105485232068,-0.6557692307692308,-0.7416553909336306,0.09422492401215805,0.3463687150837989,0.5488090538228715,-0.029166666666666667,0.46887966804979253,0.6657263751763046
29,American Airlines Group,Industrials,AAL,-0.24732608503491557,-4.496570644718793,-6.539535715789031,-0.8095126247798003,-0.02471557473519027,-0.08429915028371354,0.9556103575832305,0.15526950925181013,-0.9969379816818281
30,American Electric Power,Utilities,AEP,-0.16199304750869062,-0.6924441661448549,-0.7901299613628381,0.036366150442477874,1.5503902273498473,2.222465400708079,-0.0676450967311541,-0.03845130388504524,0.04598389964243631
31,American Express Co,Financials,AXP,0.028797190517998245,-0.1235657546337158,-0.02112500176709236,-0.09233657620754394,-0.7724068479355488,-0.7813459779521494,-0.2539488529522377,0.37610619469026546,-0.2971312828867705
32,American International Group,Financials,AIG,-0.010959542963740236,-0.1318407960199005,0.4152726378893607,-0.007898149239655781,1.086676217765043,0.9201844865349917,-0.006416349809885932,-4.191211809131479,-5.595092610273057
33,American Tower Corp.,Real Estate,AMT,-0.015305077805077805,-0.09199505698201291,0.12806137503688395,0.03607631127514685,0.06184787539694541,-0.2621691674791335,-0.04018865084541669,-0.015522643121617772,0.07485711830174904
34,American Water Works Company Inc,Utilities,AWK,-0.10957551826258638,-0.458128078817734,-0.5916649697956967,-0.06430155210643015,0.08636363636363636,0.2652925531914893,0.10308056872037914,0.30962343096234307,0.41936708121679217
35,Ameriprise Financial,Financials,AMP,-0.07370934049537452,-0.15728715728715728,-0.12787670571216955,-0.025128865979381444,3.1044520547945207,3.5106066329443237,-0.09781890284203569,-1.2023362536503963,-1.2715119032027322
36,AmerisourceBergen Corp,Health Care,ABC,0.048795952092521896,0.46483282455057523,0.4584664021420047,-0.009340967512161666,0.17491088951058506,4.1288735042356945,-0.04325103575907691,0.23630841800882024,-0.6963621504949726
37,AMETEK Inc.,Industrials,AME,0.02207995563329477,-0.011296901573129252,-0.0018198456770866134,-0.07863377428781419,0.2532630058288959,0.26627564149311883,-0.15828743206307008,-0.39151297447994854,-0.40640580520955033
38,Amgen Inc.,Health Care,AMGN,0.08018127941432805,-0.172859450726979,-0.12740509620384818,-0.0058092625463934166,0.14990234375,0.07704900792259699,0.007304009089433534,-0.013588110403397028,-0.00871634134989374
39,Amphenol Corp,Information Technology,APH,0.023993144815766924,0.07638367142499373,0.12962497678635815,-0.13435611343561135,-0.2626803164262448,-0.23613488448557646,0.06740064446831365,0.12780056800252446,0.07318740584131972
40,Analog Devices Inc.,Information Technology,ADI,-0.09676563293581916,-0.19190450436072715,-0.2652015241775344,0.010352379819955276,0.2581739982737686,0.3164372055654968,0.10559579669870772,0.21831288878553573,0.3522248113626275
41,ANSYS,Information Technology,ANSS,0.4138686067711741,0.7679324492846059,0.827064426790352,-0.37275311170891023,-0.816531693553598,-0.7234600537092983,0.2645244848107284,2.310744577818214,1.1067635232531674
42,Anthem,Health Care,ANTM,0.026017243987293905,-0.23058542413381122,-0.2040527472527472,0.08536045997346307,0.7725155279503105,0.6401605937772672,-0.009168704156479218,0.4673674989049496,0.5002693629901985
43,Aon plc,Financials,AON,0.2126944094157209,0.46537396121883656,0.7017706358779943,0.11577123050259966,1.0,1.0835348024758553,-0.22429325877601738,-0.44517958412098296,-0.4824686902928517
44,Apache Corporation,Energy,APA,0.13004172461752433,-43.65714285714286,-16.50582130264121,-0.17292307692307693,-0.46450100468854655,-0.5013934810423238,-0.44047619047619047,0.9647839012119827,0.9138396115374393
45,Apartment Investment & Management,Real Estate,AIV,0.0008919752683540229,-0.051751365625080904,66.45755071374906,-0.023822772483828338,-0.02637326635360926,-0.9496803510569577,-0.025579821155010864,-0.10436879591722281,4.848826914563967
46,Apple Inc.,Information Technology,AAPL,0.4337757651467833,0.636416,0.6487032804428531,-0.36491357997800017,-0.49732097461770114,-0.4883726520930829,0.02352820125872447,0.018517077725044736,0.011809482043009054
47,Applied Materials Inc.,Information Technology,AMAT,0.10868407032498668,0.20601851851851852,0.282063580888427,-0.04925516578567996,-0.10556621880998081,-0.14992101762554036,0.1106899166034875,0.1888412017167382,0.11512506418249832
48,Aptiv PLC,Consumer Discretionary,APTV,0.010396178701882551,-0.003125,-0.07124356373849279,-0.10289210233592881,4.075235109717869,5.882053177429833,-0.39243645381277126,-1.1945645460160592,-1.230839209661644
49,Archer-Daniels-Midland Co,Consumer Staples,ADM,-0.02373550161425326,-0.07829977628635347,0.23395720075804732,-0.08322616204299099,-0.4029126213592233,-0.2228375409174477,0.0875751503006012,0.8455284552845529,0.2037619363586534
50,Arista Networks,Information Technology,ANET,-0.15566421918812987,-0.23016456260990525,0.25649827588872914,-0.0534199867522342,-0.14959457693378564,-0.4672251689043675,0.03353733731781603,0.11577421122262165,0.054414422738218185
